Pm;Vm;Im;Voc;Isc;Voc_coeff;Isc_coeff;Rs;Iph;I0;Rp;n
3.751611111;0.487222222;7.7;0.615277778;8.27;-0.33968;0.042297;0.007214444;8.3014;1.3163E-10;3.176086111;0.96394
4.08525;0.4875;8.38;0.6285;8.99;-0.33893;0.055506;0.008145833;9.0191;1.422E-10;3.90038;0.98421
3.837666667;0.483333333;7.94;0.61875;8.5;-0.32801;0.0656;0.008089792;8.5145;9.0692E-11;4.744879167;0.95379
2.65546875;0.515625;5.15;0.626041667;5.56;-0.35399;0.055;0.006417813;5.5699;1.5037E-10;3.606495833;1.0026
3.779978125;0.498020833;7.59;0.615416667;8.09;-0.34287;0.02492;0.005746042;8.106;1.4106E-10;5.001815625;0.96746
3.541041667;0.479166667;7.39;0.604166667;7.98;-0.34;0.07;0.007239167;8.0095;1.3372E-10;2.521156944;0.94876
3.833216667;0.470333333;8.15;0.612666667;8.9;-0.36001;0.03;0.008618333;8.9407;2.8616E-10;1.883875;0.98833
2.919680556;0.573611111;5.09;0.706944444;5.57;-0.278;0.035601;0.010522083;5.5945;7.0883E-12;2.391588889;1.0064
4.00465;0.505;7.93;0.603333333;8.53;-0.34801;0.103;0.002934167;8.5401;2.0084E-10;2.470841667;0.96068
3.889813889;0.498055556;7.81;0.617638889;8.39;-0.37;0.06;0.005555;8.4041;3.9856E-10;3.478981944;1.0122
3.515;0.475;7.4;0.608333333;7.9;-0.444;0.059;0.007441333;7.9444;3.6109E-09;10.591945;1.1011
4.1734;0.513333333;8.13;0.626666667;8.68;-0.31;0.05;0.004921333;8.6919;4.4511E-11;3.586633333;0.93894
3.4986;0.49;7.14;0.635;8.12;-0.36399;0.051121;0.009595333;8.211;3.0498E-10;0.856171667;1.0332
4.168333333;0.508333333;8.2;0.626388889;8.71;-0.31889;0.036797;0.005455833;8.7177;6.2464E-11;6.164120833;0.9505
4.5208625;0.53375;8.47;0.635277778;8.6;-0.4204;0.092302;0.002058611;8.8347;2.1061E-09;114.5066306;1.116
4.082483333;0.514166667;7.94;0.621458333;8.45;-0.3678;0.044;0.003713958;8.4795;3.6515E-10;4.130065625;1.0142
4.0851;0.51;8.01;0.625;8.57;-0.34811;0.042205;0.004874333;8.581;1.8508E-10;3.798523333;0.99128
2.5;0.5;5;0.6;5.51;-0.38229;0.053158;0.00449875;5.5226;3.8473E-10;1.960822222;1.001
3.903472222;0.506944444;7.7;0.616666667;8.3;-0.3384;0.044795;0.004535;8.3154;1.2584E-10;2.449448611;0.96458
3.5855;0.505;7.1;0.615;8.3;-0.32401;0.027;0.0048605;8.3709;6.8412E-11;0.569138333;0.94271
3.821111111;0.502777778;7.6;0.62;8.44;-0.38799;0.047998;0.005022083;8.4761;7.0268E-10;1.173895833;1.0425
4.35831;0.515166667;8.46;0.633;8.78;-0.34621;0.054396;0.004927;8.8711;1.8323E-10;59.87016;1.0015
2.602475;0.528958333;4.92;0.623958333;5.25;-0.358;0.06301;0.003287917;5.2554;1.6601E-10;5.835440625;1.0053
3.678166667;0.483333333;7.61;0.608333333;8.52;-0.36;0.03;0.006656111;8.5785;2.703E-10;0.969770833;0.98228
4.2622;0.5275;8.08;0.630833333;8.79;-0.37001;0.06;0.0028425;8.8042;4.1473E-10;1.754301667;1.0344
3.92385;0.505;7.77;0.615;8.31;-0.37011;0.042202;0.004274333;8.3185;3.8616E-10;4.182923333;1.0068
3.7521;0.495;7.58;0.616666667;8.46;-0.39105;0.056844;0.0057095;8.5049;7.8644E-10;1.075301667;1.042
3.9984;0.51;7.84;0.625;8.38;-0.35;0.06;0.0049565;8.3899;1.9911E-10;4.205083333;0.9951
4.007083333;0.491666667;8.15;0.623333333;8.7;-0.37;0.04;0.006910333;8.7257;4.0319E-10;5.646815;1.02
4.302569444;0.515277778;8.35;0.642361111;8.65;-0.3469;0.067618;0.006063194;8.7455;1.8873E-10;30.10540417;1.0181
3.7995;0.51;7.45;0.617916667;7.95;-0.29;0.12;0.00491375;7.9609;1.9939E-11;3.570505556;0.90108
3.504458333;0.464166667;7.55;0.598333333;8.2;-0.31799;0.011;0.008783833;8.2345;5.4057E-11;2.088196667;0.90568
2.577138889;0.501388889;5.14;0.619444444;5.48;-0.35;0.05;0.008396667;5.4854;1.2843E-10;8.447413889;0.98553
3.4188;0.493333333;6.93;0.601666667;7.67;-0.32501;0.055007;0.005173167;7.7024;7.0534E-11;1.224166667;0.92378
3.8913;0.51;7.63;0.615;8.56;-0.32401;0.026998;0.003944583;8.5982;7.1759E-11;0.883984722;0.94149
2.641388889;0.513888889;5.14;0.634722222;5.51;-0.3709;0.064701;0.008210417;5.5289;2.7191E-10;5.378883333;1.0418
3.983995238;0.534047619;7.46;0.620714286;8.24;-0.32831;0.054951;0.00120531;8.2484;8.5714E-11;1.181533333;0.9578
4;0.5;8;0.62;8.65;-0.34581;0.040405;0.005658333;8.6715;1.7079E-10;2.27666;0.98022
3.608;0.488888889;7.38;0.611111111;8.15;-0.37621;0.071706;0.006247222;8.1874;4.8039E-10;1.360807407;1.0121
4.00021875;0.493854167;8.1;0.6146875;8.57;-0.36358;0.010443;0.005696667;8.6102;3.0643E-10;8.608741667;0.99478
2.220166667;0.480555556;4.62;0.605555556;5.05;-0.33741;0.042693;0.011535833;5.0756;7.3325E-11;2.633681944;0.94603
3.83789;0.503;7.63;0.609;8.14;-0.3373;0.061597;0.004188667;8.2221;1.2238E-10;2.173316667;0.9521
4.030208333;0.506944444;7.95;0.618055556;8.49;-0.362;0.095995;0.004336667;8.5031;3.2443E-10;4.229631944;1.0035
3.540138889;0.493055556;7.18;0.583333333;8.16;-0.32119;0.078493;0.00248625;8.1982;6.8097E-11;0.7294875;0.8935
3.888277778;0.497222222;7.82;0.618055556;8.86;-0.33;0.06;0.005940417;8.9292;9.8681E-11;0.760456944;0.95715
4.08339;0.531;7.69;0.654833333;8.21;-0.34001;0.06;0.005876333;8.2605;1.3611E-10;3.288215;1.0275
2.289583333;0.486111111;4.71;0.611111111;5.1;-0.301;0.063;0.01177375;5.1178;1.8418E-11;3.369581944;0.90391
3.890208333;0.493055556;7.89;0.625;8.35;-0.343;0.043198;0.007419583;8.3984;1.5132E-10;7.835420833;0.98368
3.541694444;0.480555556;7.37;0.608333333;8.12;-0.44251;0.093805;0.006488611;8.2035;3.7282E-09;1.318041667;1.1037
4.277666667;0.521666667;8.2;0.628333333;8.8;-0.32729;0.040205;0.003758833;8.8471;8.7404E-11;2.139636667;0.96639
3.520481481;0.47962963;7.34;0.603703704;7.95;-0.34;0.07;0.007148519;7.9754;1.3299E-10;2.3277;0.94809
3.892194444;0.500925926;7.77;0.616481481;8.36;-0.3283;0.054952;0.005430741;8.3947;8.8251E-11;2.410575926;0.95039
4.2432;0.51;8.32;0.645;8.88;-0.337;0.043795;0.0071465;8.9;1.2854E-10;5.168418333;1.0063
4.537637037;0.508703704;8.92;0.636296296;9.26;-0.34269;0.06581;0.005856296;9.4006;1.7355E-10;14.50613519;1.0022
2.418766667;0.496666667;4.87;0.616666667;5.21;-0.36581;0.046008;0.009129833;5.2163;2.1064E-10;7.505866667;1.0036
3.615;0.5;7.23;0.604027778;7.79;-0.355;0.10401;0.003998472;7.8017;2.3538E-10;2.673423611;0.9717
4.250333333;0.518333333;8.2;0.63;8.73;-0.48101;-0.01;0.0030065;8.7637;9.6739E-09;8.990445;1.1894
2.083166667;0.483333333;4.31;0.6;4.74;-0.374;0.089008;0.009681111;4.7583;2.6676E-10;2.50145;0.99153
4.162638889;0.507638889;8.2;0.624444444;8.77;-0.3115;0.026408;0.005375694;8.7842;4.5957E-11;3.327356944;0.93643
3.8199;0.51;7.49;0.608055556;7.96;-0.3802;0.064824;0.002691111;7.9877;5.36E-10;4.527834722;1.0111
3.9187;0.496666667;7.89;0.618333333;8.51;-0.30501;0.061998;0.006404;8.5335;3.6229E-11;2.323421667;0.92022
4.250477778;0.503611111;8.44;0.627916667;8.91;-0.32999;0.05;0.005989444;8.9882;1.0073E-10;4.752440278;0.96985
2.57;0.5;5.14;0.6;5.76;-0.32;0.05;0.005214306;5.8168;4.2646E-11;1.147156944;0.91421
3.377591667;0.470416667;7.18;0.550555556;8.32;-0.36039;0.052825;0.001113431;8.3249;2.6573E-10;0.581263889;0.89108
3.823111111;0.488888889;7.82;0.622222222;8.25;-0.31799;0.057006;0.007976111;8.309;5.9428E-11;10.99039722;0.94394
4.70925;0.525;8.97;0.648333333;9.56;-0.3;0.03;0.005464333;9.6031;3.1571E-11;2.943366667;0.95522
3.817111111;0.494444444;7.72;0.620833333;8.23;-0.364;0.11501;0.006601389;8.2611;3.4753E-10;5.387436111;1.012
2.498833333;0.483333333;5.17;0.605555556;5.75;-0.3922;0.044365;0.008831389;5.7803;5.4504E-10;1.678266667;1.0239
3.608;0.488888889;7.38;0.605555556;7.95;-0.38039;0.017006;0.005581806;7.964;5.0017E-10;3.1800125;1.0044
2.323611111;0.486111111;4.78;0.613888889;5.15;-0.37921;0.047184;0.010971528;5.1602;3.2621E-10;5.582880556;1.0184
3.66275;0.498333333;7.35;0.604;7.77;-0.32999;0.05;0.0045015;7.8528;8.7569E-11;3.326925;0.93304
3.75705;0.495;7.59;0.616666667;8.16;-0.39251;0.078897;0.005783333;8.2511;8.3563E-10;2.129138333;1.0446
3.667665;0.4845;7.57;0.607666667;8.12;-0.35636;0.026601;0.006609;8.1334;2.2973E-10;4.00638;0.97448
3.8893;0.485555556;8.01;0.61875;8.52;-0.33971;0.0423;0.007624444;8.5279;1.3623E-10;10.48289861;0.96902
4.244583333;0.508333333;8.35;0.628333333;8.87;-0.31401;0.0059977;0.005621167;8.9678;4.9914E-11;2.403091667;0.94481
3.41525;0.475;7.19;0.57;8.05;-0.36;0.06;0.0031385;8.0772;2.6667E-10;0.92796;0.92229
4.307333333;0.505555556;8.52;0.621805556;9.2;-0.36301;0.0545;0.004632222;9.2184;3.4074E-10;2.310481944;1.0088
4.199966667;0.515333333;8.15;0.631166667;8.59;-0.32361;0.069232;0.0050435;8.6827;7.8349E-11;3.712783333;0.96675
3.39768;0.468;7.26;0.596;7.82;-0.34;0.040997;0.0080044;7.8811;1.2589E-10;2.369442;0.93435
3.886666667;0.488888889;7.95;0.622222222;8.33;-0.42799;0.049004;0.00681375;8.4855;2.4246E-09;21.56177083;1.1022
3.985883333;0.511666667;7.79;0.626666667;8.28;-0.38311;0.055302;0.004625833;8.3514;6.0605E-10;3.366428333;1.0458
2.76009375;0.519791667;5.31;0.628125;5.71;-0.354;0.055009;0.005750729;5.718;1.5466E-10;4.113158333;1.0058
2.64;0.5;5.28;0.619444444;5.52;-0.3;0.05;0.009243472;5.5793;1.9083E-11;18.93793056;0.91343
3.5696;0.485;7.36;0.6035;7.93;-0.34399;0.11;0.006243667;7.9471;1.6355E-10;2.883698333;0.95564
4.250125;0.515166667;8.25;0.625666667;8.82;-0.32999;0.04;0.004291167;8.832;9.7202E-11;3.37412;0.96593
3.1825;0.475;6.7;0.593333333;7.6;-0.36399;0.051118;0.0066645;7.6586;2.8461E-10;0.864458333;0.96539
4.167083333;0.506944444;8.22;0.629166667;8.79;-0.3447;0.039295;0.005693194;8.802;1.6727E-10;4.180172222;0.99268
4.030208333;0.506944444;7.95;0.627777778;8.6;-0.36719;0.074302;0.005440694;8.6331;3.7877E-10;2.250530556;1.0259
4.240888889;0.509722222;8.32;0.618055556;8.78;-0.33;0.063804;0.004104306;8.8443;1.0127E-10;4.287855556;0.9555
3.838833333;0.516666667;7.43;0.618333333;8.05;-0.35159;0.043503;0.003306167;8.0629;1.9593E-10;2.060791667;0.98624
2.221666667;0.477777778;4.65;0.6;5;-0.3922;0.04438;0.010188194;5.0078;4.8011E-10;6.517513889;1.0132
3.835;0.491666667;7.8;0.616666667;8.43;-0.37141;0.0393;0.006337;8.4499;4.0645E-10;2.689543333;1.0115
2.778222222;0.522222222;5.32;0.629166667;5.72;-0.37841;0.072308;0.005027361;5.7506;3.6594E-10;3.336834722;1.0445
4.074962963;0.503703704;8.09;0.62962963;8.99;-0.32;0.06;0.006403889;9.0458;6.8655E-11;1.0321;0.95975
4.2534;0.51;8.34;0.638333333;8.83;-0.377;0.05;0.005993333;8.8516;5.2558E-10;14.37843667;1.0554
3.822055556;0.494444444;7.73;0.616666667;8.15;-0.33;0.05;0.006448472;8.2164;9.2091E-11;5.939284722;0.9524
3.917066667;0.493333333;7.94;0.613333333;8.49;-0.33701;-0.017998;0.0059525;8.5396;1.1133E-10;2.902745;0.95343
3.747916667;0.486111111;7.71;0.618055556;8.2;-0.396;0.047;0.007210278;8.216;8.9569E-10;13.99908333;1.0489
4.375222222;0.517777778;8.45;0.628055556;8.95;-0.369;0.061006;0.003752778;9.0289;4.1379E-10;3.503633333;1.0277
2.361333333;0.488888889;4.83;0.616666667;5.29;-0.33919;0.045293;0.011312778;5.314;8.2296E-11;2.495018056;0.96614
3.957291667;0.503472222;7.86;0.618055556;8.49;-0.356;0.07;0.004914722;8.5074;2.5227E-10;2.394065278;0.99362
2.5697;0.509861111;5.04;0.611944444;5.44;-0.351;0.045993;0.005173611;5.4481;1.3038E-10;3.473265278;0.97524
4.378513889;0.509722222;8.59;0.631944444;8.99;-0.4;0.05;0.004924444;9.1174;1.1307E-09;21.69321528;1.0785
4.082668056;0.510972222;7.99;0.619027778;8.51;-0.33729;0.061598;0.00413625;8.5224;1.2774E-10;4.350130556;0.96736
