,Pm,Vm,Im,Voc,Isc,Voc_coeff,Isc_coeff
1,0.3110355,0.45,0.69119,0.5728,0.76,-0.28,0.035
2,0.3142615,0.35,0.89789,0.466055556,1.03,-0.28,0.036
3,1.666388889,0.476111111,3.5,0.586111111,3.81,-0.28,0.065
