,Pm,Vm,Im,Voc,Isc,Voc_coeff,Isc_coeff
72,4.586833333,0.523611111,8.76,0.6375,9.27,-0.309368192,0.06
73,3.070525,0.389166667,7.89,0.513194444,8.46,-0.343707713,0.051997636
74,3.124,0.394444444,7.92,0.515833333,8.49,-0.344641896,0.052002356
75,3.193780556,0.399722222,7.99,0.51875,8.53,-0.34270415,0.052004689
76,3.2643,0.405,8.06,0.521666667,8.56,-0.343450479,0.051997664
77,3.335558333,0.410277778,8.13,0.524583333,8.59,-0.344188509,0.052002328
78,3.407555556,0.415555556,8.2,0.5275,8.62,-0.344918378,0.05199536
79,3.480291667,0.420833333,8.27,0.530416667,8.65,-0.343021733,0.052
80,4.237751389,0.496805556,8.53,0.629027778,8.95,-0.311327004,0.05
81,4.315888889,0.497222222,8.68,0.630833333,8.99,-0.310435931,0.05
82,4.379222222,0.497638889,8.8,0.632638889,9.02,-0.311745335,0.05
83,4.442655556,0.498055556,8.92,0.634444444,9.06,-0.310858144,0.05
84,4.513534722,0.504305556,8.95,0.636388889,9.1,-0.31209079,0.05
85,3.706351852,0.487037037,7.61,0.609259259,8.21,-0.373860182,0.038733252
86,1.592166667,0.683333333,2.33,0.827651515,2.54,-0.280091533,0.04
87,1.60875,0.6875,2.34,0.829166667,2.54,-0.280036546,0.04
88,1.632333333,0.691666667,2.36,0.83030303,2.54,-0.280109489,0.04
89,1.648227273,0.695454545,2.37,0.831818182,2.55,-0.280054645,0.04
90,1.665098485,0.699621212,2.38,0.833333333,2.55,-0.28,0.04
91,1.688181818,0.703409091,2.4,0.834848485,2.56,-0.279945554,0.04
92,1.712333333,0.707575758,2.42,0.8375,2.57,-0.279963817,0.04
93,0.9006,0.395,2.28,0.5725,2.68,-0.436681223,0.011940299
94,1.00015,0.415,2.41,0.5825,2.68,-0.429184549,0.013059701
95,1.458,0.81,1.8,1.07,2.2,-0.3,0.01
96,1.50775,0.815,1.85,1.08,2.2,-0.3,0.01
97,1.551,0.825,1.88,1.09,2.2,-0.3,0.01
98,1.6044,0.84,1.91,1.1,2.2,-0.3,0.01
99,1.65015,0.855,1.93,1.1,2.2,-0.3,0.01
100,1.70625,0.875,1.95,1.12,2.2,-0.3,0.01
