,Pm,Vm,Im,Voc,Isc,Voc_coeff,Isc_coeff,Rs,Iph,I0,Rp,n
36,3.7536,0.51,7.36,0.616,7.94,-0.35701,0.12900999999999999,0.003954667,7.9523,2.6721e-10,2.5567316669999998,0.99545
37,3.8938333330000003,0.5083333329999999,7.66,0.6138888889999999,8.26,-0.40839000000000003,0.082906,0.0032805559999999996,8.2695,1.3796e-09,2.8644486110000003,1.0625
38,3.615,0.5,7.23,0.604166667,7.79,-0.37269,0.06160499999999999,0.0038495829999999997,7.8007,4.0491e-10,2.796584722,0.9941700000000001
39,4.0015,0.5033333329999999,7.95,0.6216666670000001,8.46,-0.35,0.04,0.0054361669999999996,8.4716,1.9544e-10,6.15886,0.98841
40,3.820833333,0.48611111100000004,7.86,0.5972222220000001,8.53,-0.33799999999999997,0.040902999999999995,0.004974444000000001,8.552999999999999,1.2634999999999998e-10,1.848029167,0.93355
41,3.9176666669999998,0.48666666700000005,8.05,0.6163333329999999,8.65,-0.37799,0.098,0.0067315,8.6697,5.6769e-10,3.856845,1.0238
42,4.3428,0.513333333,8.46,0.635,8.85,-0.44298999999999994,0.041006,0.004481499999999999,9.0105,3.8902e-09,15.874045,1.1464
43,4.0130666669999995,0.496666667,8.08,0.6266666670000001,8.71,-0.34399,0.059001,0.006889167,8.7311,1.6612000000000002e-10,2.840266667,0.9891200000000001
44,4.376166667,0.504166667,8.68,0.638888889,8.94,-0.4118,0.08730399999999999,0.006292639,9.1413,1.6936999999999998e-09,73.07841944,1.1097
45,3.407354167,0.5697916670000001,5.98,0.678125,6.46,-0.35601,0.07,0.003850417,6.468,1.9162000000000003e-10,3.109697917,1.0903
46,4.086333333,0.498333333,8.2,0.6273333329999999,8.82,-0.33398,0.06559,0.006737833,8.8398,1.1756e-10,3.007575,0.97593
47,3.750388889,0.501388889,7.48,0.627777778,8.01,-0.38179,0.052896000000000006,0.0064933330000000004,8.0866,5.5977e-10,2.834584722,1.0457
48,3.7516111110000003,0.48722222200000004,7.7,0.6152777779999999,8.27,-0.33968000000000004,0.042297,0.007214444,8.3014,1.3163e-10,3.176086111,0.96394
49,4.08525,0.4875,8.38,0.6285,8.99,-0.33893,0.05550599999999999,0.008145833,9.0191,1.4219999999999998e-10,3.90038,0.98421
50,3.8376666669999997,0.483333333,7.94,0.61875,8.5,-0.32800999999999997,0.0656,0.008089792,8.5145,9.069200000000002e-11,4.744879167,0.9537899999999999
51,2.65546875,0.515625,5.15,0.6260416670000001,5.56,-0.35399,0.055,0.0064178130000000005,5.5699,1.5037e-10,3.6064958330000003,1.0026
52,3.779978125,0.498020833,7.59,0.6154166670000001,8.09,-0.34287,0.024919999999999998,0.005746042,8.106,1.4106e-10,5.001815625,0.96746
