,f,TF,Rs,Ls,Csh,Gsh,C0,G0,CHL,GHL,Case_name
56,11.37627286,-73.9620786,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
57,11.40249788,-73.98211157,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
58,11.42878335,-74.00214471,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
59,11.45512941,-74.022178,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
60,11.48153621,-74.04221144,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
61,11.50800389,-74.06224505,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
62,11.53453258,-74.08227882,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
63,11.56112242,-74.10231276,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
64,11.58777356,-74.12234685,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
65,11.61448614,-74.14238111,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
66,11.64126029,-74.16241553,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
67,11.66809617,-74.18245012,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
68,11.69499391,-74.20248487,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
69,11.72195366,-74.22251979,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
70,11.74897555,-74.24255488,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
71,11.77605974,-74.26259013,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
72,11.80320636,-74.28262556,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
73,11.83041556,-74.30266115,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
74,11.85768748,-74.32269691,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
75,11.88502227,-74.34273284,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
76,11.91242008,-74.36276895,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
77,11.93988104,-74.38280522,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
78,11.96740531,-74.40284167,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
79,11.99499303,-74.42287829,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
80,12.02264435,-74.44291509,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
81,12.0503594,-74.46295207,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
82,12.07813835,-74.48298921,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
83,12.10598134,-74.50302654,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
84,12.1338885,-74.52306405,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
85,12.16186001,-74.54310173,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
86,12.18989599,-74.56313959,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
87,12.2179966,-74.58317763,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
88,12.24616199,-74.60321586,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
89,12.27439231,-74.62325426,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
90,12.30268771,-74.64329285,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
91,12.33104833,-74.66333162,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
92,12.35947433,-74.68337057,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
93,12.38796587,-74.70340971,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
94,12.41652308,-74.72344904,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
95,12.44514612,-74.74348855,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
96,12.47383514,-74.76352825,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
97,12.502590300000001,-74.78356814,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
98,12.53141175,-74.80360822,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
99,12.56029964,-74.82364849,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
100,12.58925412,-74.84368895,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
101,12.61827535,-74.8637296,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
102,12.64736347,-74.88377045,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
103,12.67651866,-74.90381148,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
104,12.70574105,-74.92385272,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
105,12.73503081,-74.94389414,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
