f,TF,Rs,Ls,Csh,Gsh,C0,G0,CHL,GHL,Case_name
11.88502227,-74.34273284,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
11.91242008,-74.36276895,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
11.93988104,-74.38280522,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
11.96740531,-74.40284167,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
11.99499303,-74.42287829,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.02264435,-74.44291509,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.0503594,-74.46295207,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.07813835,-74.48298921,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.10598134,-74.50302654,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.1338885,-74.52306405,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.16186001,-74.54310173,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.18989599,-74.56313959,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.2179966,-74.58317763,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.24616199,-74.60321586,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.27439231,-74.62325426,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.30268771,-74.64329285,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.33104833,-74.66333162,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.35947433,-74.68337057,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.38796587,-74.70340971,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.41652308,-74.72344904,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.44514612,-74.74348855,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.47383514,-74.76352825,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.5025903,-74.78356814,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.53141175,-74.80360822,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.56029964,-74.82364849,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.58925412,-74.84368895,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.61827535,-74.8637296,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.64736347,-74.88377045,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.67651866,-74.90381148,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.70574105,-74.92385272,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.73503081,-74.94389414,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.76438809,-74.96393577,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.79381304,-74.98397759,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.82330583,-75.00401961,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.8528666,-75.02406182,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.88249552,-75.04410424,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.91219274,-75.06414686,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.94195841,-75.08418968,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
12.97179271,-75.1042327,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.00169578,-75.12427593,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.03166778,-75.14431936,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.06170888,-75.16436299,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.09181923,-75.18440683,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.12199899,-75.20445088,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.15224832,-75.22449514,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.18256739,-75.24453961,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.21295634,-75.26458428,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.24341535,-75.28462917,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.27394458,-75.30467427,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.30454418,-75.32471958,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.33521432,-75.3447651,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.36595517,-75.36481084,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.39676687,-75.3848568,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.42764961,-75.40490297,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.45860354,-75.42494936,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.48962883,-75.44499597,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.52072563,-75.4650428,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.55189412,-75.48508985,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.58313447,-75.50513712,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.61444682,-75.52518461,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.64583137,-75.54523233,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.67728826,-75.56528027,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.70881766,-75.58532844,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.74041975,-75.60537683,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.77209469,-75.62542546,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.80384265,-75.64547431,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.83566379,-75.66552339,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.86755829,-75.6855727,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.89952631,-75.70562224,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.93156803,-75.72567202,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.96368361,-75.74572203,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
13.99587323,-75.76577228,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.02813705,-75.78582276,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.06047524,-75.80587348,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.09288798,-75.82592444,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.12537545,-75.84597563,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.1579378,-75.86602707,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.19057522,-75.88607875,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.22328787,-75.90613067,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.25607594,-75.92618284,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.28893959,-75.94623525,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.32187899,-75.96628791,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.35489433,-75.98634081,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.38798578,-76.00639396,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
